Gene name,GO term name
AFF3,DNA-binding transcription factor activity
AFF3,"regulation of transcription, DNA-templated"
AFF3,
AGO2,protein binding
AGO2,"regulation of transcription, DNA-templated"
AGO2,nucleic acid binding
AGO2,"endoribonuclease activity, cleaving siRNA-paired mRNA"
AGO2,gene silencing by RNA
AGO2,RISC complex
AGO2,miRNA binding
AGO2,cytoplasm
AGO2,nucleus
AGO2,"RNA phosphodiester bond hydrolysis, endonucleolytic"
AGO2,RNA binding
AGO2,membrane
AGO2,translation initiation factor activity
AGO2,translation
AGO2,metal ion binding
AGO2,cytosol
AGO2,hydrolase activity
AGO2,ribonucleoprotein complex
AGO2,regulation of translation
AGO2,nucleic acid phosphodiester bond hydrolysis
AGO2,cytoplasmic ribonucleoprotein granule
AGO2,endonuclease activity
AGO2,nuclease activity
AGO2,P-body
AGO2,"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
AGO2,translational initiation
AGO2,RNA 7-methylguanosine cap binding
AGO2,nucleoplasm
AGO2,endoribonuclease activity
AGO2,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening
AGO2,mRNA cap binding complex
AGO2,single-stranded RNA binding
AGO2,positive regulation of transcription by RNA polymerase II
AGO2,positive regulation of angiogenesis
AGO2,protein C-terminus binding
AGO2,production of siRNA involved in post-transcriptional gene silencing by RNA
AGO2,negative regulation of translational initiation
AGO2,miRNA-mediated gene silencing by inhibition of translation
AGO2,double-stranded RNA binding
AGO2,pre-miRNA processing
AGO2,production of miRNAs involved in gene silencing by miRNA
AGO2,RISC-loading complex
AGO2,polysome
AGO2,extracellular exosome
AGO2,positive regulation of trophoblast cell migration
AGO2,siRNA binding
AGO2,RNA secondary structure unwinding
AGO2,RISC complex assembly
AGO2,RNA polymerase II complex binding
AGO2,"endoribonuclease activity, producing 5'-phosphomonoesters"
AGO2,miRNA-mediated gene silencing by mRNA destabilization
AGO2,core promoter sequence-specific DNA binding
AGO2,mRNA binding
AGO2,"endoribonuclease activity, cleaving miRNA-paired mRNA"
AGO2,mRNA cap binding
AGO2,post-embryonic development
AGO2,miRNA metabolic process
AGO2,positive regulation of gene expression
AGO2,post-transcriptional gene silencing by RNA
AGO2,negative regulation of amyloid precursor protein biosynthetic process
AGO2,siRNA-mediated gene silencing by mRNA destabilization
AGO2,dendrite
AGO2,
AHR,
AHR,protein binding
AHR,"regulation of transcription, DNA-templated"
AHR,protein dimerization activity
AHR,nucleus
AHR,cytoplasm
AHR,DNA binding
AHR,DNA-binding transcription factor activity
AHR,rhythmic process
AHR,xenobiotic metabolic process
AHR,response to xenobiotic stimulus
AHR,aryl hydrocarbon receptor complex
AHR,apoptotic process
AHR,cytosol
AHR,protein homodimerization activity
AHR,intracellular receptor signaling pathway
AHR,cell cycle
AHR,sequence-specific double-stranded DNA binding
AHR,"positive regulation of transcription, DNA-templated"
AHR,circadian regulation of gene expression
AHR,positive regulation of transcription by RNA polymerase II
AHR,regulation of transcription by RNA polymerase II
AHR,transcription cis-regulatory region binding
AHR,nuclear receptor activity
AHR,"DNA-binding transcription factor activity, RNA polymerase II-specific"
AHR,chromatin
AHR,nucleoplasm
AHR,"negative regulation of transcription, DNA-templated"
AHR,protein heterodimerization activity
AHR,protein-containing complex
AHR,molecular adaptor activity
AHR,RNA polymerase II-specific DNA-binding transcription factor binding
AHR,Hsp90 protein binding
AHR,E-box binding
AHR,cAMP-mediated signaling
AHR,cellular response to cAMP
AHR,"cellular response to 2,3,7,8-tetrachlorodibenzodioxine"
AHR,response to toxic substance
AHR,cellular response to forskolin
AHR,TBP-class protein binding
AHR,regulation of adaptive immune response
AHR,blood vessel development
AHR,cis-regulatory region sequence-specific DNA binding
AHR,TFIID-class transcription factor complex binding
AHR,transcription coactivator binding
AHR,negative regulation of T cell mediated immune response to tumor cell
AHR,regulation of gene expression
AHR,regulation of B cell proliferation
AHR,transcription regulator complex
AHR,cytosolic aryl hydrocarbon receptor complex
AIRE,
AIRE,nucleus
AIRE,DNA binding
AIRE,cytoplasm
AIRE,metal ion binding
AIRE,humoral immune response
AIRE,zinc ion binding
AIRE,"regulation of transcription, DNA-templated"
AIRE,protein binding
AIRE,"positive regulation of transcription, DNA-templated"
AIRE,translation regulator activity
AIRE,identical protein binding
AIRE,RNA polymerase II transcription regulatory region sequence-specific DNA binding
AIRE,chromatin binding
AIRE,histone binding
AIRE,positive regulation of transcription by RNA polymerase II
AIRE,immune response
AIRE,positive regulation of chemokine production
AIRE,nuclear body
AIRE,peripheral T cell tolerance induction
AIRE,central tolerance induction to self antigen
AIRE,transcription by RNA polymerase II
AIRE,regulation of translation
AIRE,negative thymic T cell selection
AIRE,thymus epithelium morphogenesis
AIRE,regulation of thymocyte migration
AIRE,male germ cell nucleus
AIRE,female germ cell nucleus
ANKRD50,protein binding
ANKRD50,protein transport
ANKRD50,endosome
ANKRD50,endocytic recycling
ANKRD55,protein binding
ANKRD55,
AP4B1-AS1,
ARL8B,
ARL8B,GTP binding
ARL8B,GTPase activity
ARL8B,cytoplasm
ARL8B,membrane
ARL8B,protein transport
ARL8B,lysosomal membrane
ARL8B,nucleotide binding
ARL8B,cell projection
ARL8B,endosome
ARL8B,hydrolase activity
ARL8B,cytoskeleton
ARL8B,cell division
ARL8B,axon cytoplasm
ARL8B,G protein activity
ARL8B,protein binding
ARL8B,lysosome
ARL8B,cell cycle
ARL8B,synapse
ARL8B,late endosome membrane
ARL8B,cytosol
ARL8B,plasma membrane repair
ARL8B,late endosome to lysosome transport
ARL8B,midbody
ARL8B,axon
ARL8B,spindle
ARL8B,chromosome segregation
ARL8B,extracellular exosome
ARL8B,spindle midzone
ARL8B,alpha-tubulin binding
ARL8B,GDP binding
ARL8B,beta-tubulin binding
ARL8B,phagosome-lysosome fusion
ARL8B,calcium ion regulated lysosome exocytosis
ARL8B,lysosome localization
ARL8B,autophagosome-lysosome fusion
ARL8B,natural killer cell mediated cytotoxicity
ARL8B,cytolytic granule membrane
ARL8B,endosome to lysosome transport of low-density lipoprotein particle
ARL8B,anterograde axonal transport
ARL8B,antigen processing and presentation of polysaccharide antigen via MHC class II
ARL8B,antigen processing and presentation following phagocytosis
ARL8B,endosomal transport
ARL8B,viral exocytosis
ASCL2,protein dimerization activity
ASCL2,nucleus
ASCL2,cytoplasm
ASCL2,DNA binding
ASCL2,regulation of transcription by RNA polymerase II
ASCL2,DNA-binding transcription factor activity
ASCL2,negative regulation of transcription by RNA polymerase II
ASCL2,cell differentiation
ASCL2,nervous system development
ASCL2,RNA polymerase II transcription regulatory region sequence-specific DNA binding
ASCL2,"DNA-binding transcription factor activity, RNA polymerase II-specific"
ASCL2,chromatin
ASCL2,RNA polymerase II cis-regulatory region sequence-specific DNA binding
ASCL2,"DNA-binding transcription repressor activity, RNA polymerase II-specific"
ASCL2,sequence-specific double-stranded DNA binding
ASCL2,placenta development
ASCL2,RNA polymerase II transcription regulator complex
ASCL2,positive regulation of transcription by RNA polymerase II
ASCL2,regulation of neurogenesis
ASCL2,response to hypoxia
ASCL2,neuron differentiation
ASCL2,E-box binding
ASCL2,sensory organ development
ASCL2,sequence-specific DNA binding
ASCL2,in utero embryonic development
ASCL2,negative regulation of Schwann cell proliferation
ASCL2,somatic stem cell population maintenance
ASCL2,spongiotrophoblast differentiation
ASCL2,spongiotrophoblast layer development
ATG16L1,autophagosome assembly
ATG16L1,protein binding
ATG16L1,cytoplasm
ATG16L1,membrane
ATG16L1,protein transport
ATG16L1,lysosomal membrane
ATG16L1,autophagy
ATG16L1,endosome
ATG16L1,endosome membrane
ATG16L1,lysosome
ATG16L1,autophagosome
ATG16L1,phagophore assembly site membrane
ATG16L1,Atg12-Atg5-Atg16 complex
ATG16L1,axoneme
ATG16L1,identical protein binding
ATG16L1,autophagosome membrane
ATG16L1,macroautophagy
ATG16L1,cytosol
ATG16L1,sperm midpiece
ATG16L1,GTPase binding
ATG16L1,protein lipidation
ATG16L1,ubiquitin-like protein transferase activity
ATG16L1,C-terminal protein lipidation
ATG16L1,lysosomal microautophagy
ATG16L1,negative stranded viral RNA replication
ATG16L1,endolysosome membrane
ATG16L1,vacuole-isolation membrane contact site
ATG16L1,
ATG16L1,positive regulation of autophagy
ATG16L1,hippocampus development
ATG16L1,corpus callosum development
ATG16L1,protein localization to phagophore assembly site
ATG16L1,defense response to virus
ATG16L1,protein lipidation involved in autophagosome assembly
ATG16L1,xenophagy
ATP6V1G3,proton transmembrane transport
ATP6V1G3,"proton-transporting ATPase activity, rotational mechanism"
ATP6V1G3,vacuolar proton-transporting V-type ATPase complex
ATP6V1G3,plasma membrane
ATP6V1G3,ion transport
ATP6V1G3,cytosol
ATP6V1G3,ATPase binding
ATP6V1G3,protein binding
ATXN2,RNA binding
ATXN2,cytosol
ATXN2,
ATXN2,cytoplasm
ATXN2,membrane
ATXN2,Golgi apparatus
ATXN2,ribonucleoprotein complex
ATXN2,regulation of translation
ATXN2,protein binding
ATXN2,trans-Golgi network
ATXN2,perinuclear region of cytoplasm
ATXN2,cytoplasmic stress granule
ATXN2,RNA metabolic process
ATXN2,protein C-terminus binding
ATXN2,negative regulation of receptor internalization
ATXN2,stress granule assembly
ATXN2,epidermal growth factor receptor binding
ATXN2,polysome
ATXN2,P-body assembly
ATXN2,RNA transport
ATXN2L,
ATXN2L,nucleus
ATXN2L,RNA binding
ATXN2L,cytoplasm
ATXN2L,nuclear speck
ATXN2L,membrane
ATXN2L,cytosol
ATXN2L,protein binding
ATXN2L,cytoplasmic stress granule
ATXN2L,mRNA metabolic process
ATXN2L,cadherin binding
ATXN2L,stress granule assembly
ATXN2L,integral component of membrane
BACH2,protein binding
BACH2,DNA binding
BACH2,"regulation of transcription, DNA-templated"
BACH2,DNA-binding transcription factor activity
BACH2,nucleus
BACH2,cytoplasm
BACH2,nucleoplasm
BACH2,cytosol
BACH2,regulation of transcription by RNA polymerase II
BACH2,"DNA-binding transcription factor activity, RNA polymerase II-specific"
BACH2,RNA polymerase II cis-regulatory region sequence-specific DNA binding
BACH2,chromatin
BACH2,sequence-specific double-stranded DNA binding
BACH2,negative regulation of transcription by RNA polymerase II
BACH2,RNA polymerase II transcription regulator complex
BACH2,import into nucleus
BACH2,"DNA-binding transcription repressor activity, RNA polymerase II-specific"
BACH2,primary adaptive immune response involving T cells and B cells
BACH2,
BATF3,
BATF3,"regulation of transcription, DNA-templated"
BATF3,DNA-binding transcription factor activity
BATF3,nucleus
BATF3,nucleoplasm
BATF3,nucleolus
BATF3,cytosol
BATF3,DNA binding
BATF3,regulation of transcription by RNA polymerase II
BATF3,protein binding
BATF3,response to virus
BATF3,"DNA-binding transcription factor activity, RNA polymerase II-specific"
BATF3,RNA polymerase II cis-regulatory region sequence-specific DNA binding
BATF3,chromatin
BATF3,"DNA-binding transcription repressor activity, RNA polymerase II-specific"
BATF3,sequence-specific double-stranded DNA binding
BATF3,negative regulation of transcription by RNA polymerase II
BATF3,RNA polymerase II transcription regulator complex
BATF3,myeloid dendritic cell differentiation
BATF3,integrated stress response signaling
BATF3,dendritic cell differentiation
BCL2L15,apoptotic process
BCL2L15,regulation of apoptotic process
BCL2L15,protein binding
BCL2L15,nucleus
BCL2L15,cytosol
BCL2L15,
BDNF,signaling receptor binding
BDNF,cytoplasm
BDNF,nuclear speck
BDNF,mitochondrion
BDNF,signal transduction
BDNF,extracellular region
BDNF,protein binding
BDNF,perinuclear region of cytoplasm
BDNF,growth factor activity
BDNF,extracellular space
BDNF,neuron projection morphogenesis
BDNF,axon
BDNF,dendrite
BDNF,nervous system development
BDNF,synaptic vesicle
BDNF,positive regulation of synapse assembly
BDNF,axon guidance
BDNF,transmembrane receptor protein tyrosine kinase signaling pathway
BDNF,modulation of chemical synaptic transmission
BDNF,peripheral nervous system development
BDNF,memory
BDNF,positive regulation of peptidyl-serine phosphorylation
BDNF,nerve growth factor receptor binding
BDNF,nerve development
BDNF,nerve growth factor signaling pathway
BDNF,negative regulation of neuron apoptotic process
BDNF,regulation of neuron differentiation
BDNF,positive regulation of collateral sprouting
BDNF,negative regulation of apoptotic signaling pathway
BDNF,positive regulation of neuron projection development
BDNF,synapse assembly
BDNF,negative regulation of myotube differentiation
BDNF,brain-derived neurotrophic factor receptor signaling pathway
BDNF,positive regulation of brain-derived neurotrophic factor receptor signaling pathway
BDNF,collateral sprouting
BDNF,positive regulation of receptor binding
BDNF,regulation of protein localization to cell surface
BDNF,
BTN2A3P,signaling receptor binding
BTNL2,membrane
BTNL2,integral component of membrane
BTNL2,external side of plasma membrane
BTNL2,signaling receptor binding
BTNL2,regulation of cytokine production
BTNL2,T cell receptor signaling pathway
BTNL2,
BTNL2,plasma membrane
BTNL2,protein binding
BTNL2,positive regulation of interleukin-2 production
BTNL2,positive regulation of T cell proliferation
BTNL2,negative regulation of T cell receptor signaling pathway
C1orf141,
C1QTNF6,membrane
C1QTNF6,integral component of membrane
C1QTNF6,extracellular region
C1QTNF6,collagen trimer
C1QTNF6,protein binding
C1QTNF6,identical protein binding
C1QTNF6,extracellular space
C1QTNF6,protein-containing complex
C1QTNF6,
C6orf15,extracellular region
C6orf15,protein binding
C6orf15,extracellular matrix organization
C6orf15,extracellular matrix
C6orf15,molecular_function
C6orf15,biological_process
C6orf15,cellular_component
CAMK4,ATP binding
CAMK4,protein kinase activity
CAMK4,protein phosphorylation
CAMK4,nucleotide binding
CAMK4,nucleus
CAMK4,cytoplasm
CAMK4,protein serine/threonine kinase activity
CAMK4,kinase activity
CAMK4,transferase activity
CAMK4,phosphorylation
CAMK4,nucleoplasm
CAMK4,fibrillar center
CAMK4,protein serine kinase activity
CAMK4,"positive regulation of transcription, DNA-templated"
CAMK4,immune system process
CAMK4,inflammatory response
CAMK4,adaptive immune response
CAMK4,calmodulin binding
CAMK4,calmodulin-dependent protein kinase activity
CAMK4,extracellular exosome
CAMK4,peptidyl-serine phosphorylation
CAMK4,long-term memory
CAMK4,intracellular signal transduction
CAMK4,signal transduction
CAMK4,myeloid dendritic cell differentiation
CAMK4,regulation of T cell differentiation in thymus
CAMK4,regulation of osteoclast differentiation
CAMK4,protein autophosphorylation
CAMK4,calcium-dependent protein serine/threonine kinase activity
CAMK4,postsynapse
CAMK4,glutamatergic synapse
CAMK4,
CAMSAP2,protein binding
CAMSAP2,calmodulin binding
CAMSAP2,microtubule binding
CAMSAP2,spectrin binding
CAMSAP2,neuron projection development
CAMSAP2,cytoplasm
CAMSAP2,Golgi apparatus
CAMSAP2,cytosol
CAMSAP2,cell projection
CAMSAP2,cytoskeleton
CAMSAP2,microtubule
CAMSAP2,microtubule cytoskeleton organization
CAMSAP2,centrosome
CAMSAP2,ciliary basal body
CAMSAP2,microtubule end
CAMSAP2,cytoplasmic microtubule organization
CAMSAP2,microtubule minus-end binding
CAMSAP2,negative regulation of microtubule depolymerization
CAMSAP2,axon development
CAMSAP2,microtubule minus-end
CAMSAP2,regulation of microtubule polymerization
CAMSAP2,regulation of organelle organization
CAMSAP2,regulation of dendrite development
CAMSAP2,regulation of Golgi organization
CAMSAP2,
CAPSL,calcium ion binding
CAPSL,cytoplasm
CAPSL,metal ion binding
CARD9,
CARD9,regulation of apoptotic process
CARD9,cytoplasm
CARD9,metal ion binding
CARD9,positive regulation of I-kappaB kinase/NF-kappaB signaling
CARD9,protein homodimerization activity
CARD9,protein binding
CARD9,immune system process
CARD9,innate immune response
CARD9,adaptive immune response
CARD9,protein domain specific binding
CARD9,CARD domain binding
CARD9,positive regulation of cytokine production
CARD9,neutrophil mediated immunity
CARD9,I-kappaB kinase/NF-kappaB signaling
CARD9,JNK cascade
CARD9,response to xenobiotic stimulus
CARD9,response to fungus
CARD9,immunoglobulin mediated immune response
CARD9,response to peptidoglycan
CARD9,response to muramyl dipeptide
CARD9,regulation of interleukin-2 production
CARD9,regulation of interleukin-6 production
CARD9,regulation of tumor necrosis factor production
CARD9,positive regulation of chemokine production
CARD9,positive regulation of interleukin-6 production
CARD9,positive regulation of tumor necrosis factor production
CARD9,positive regulation of stress-activated MAPK cascade
CARD9,response to exogenous dsRNA
CARD9,positive regulation of innate immune response
CARD9,positive regulation of JNK cascade
CARD9,host-mediated regulation of intestinal microbiota composition
CARD9,defense response to Gram-positive bacterium
CARD9,positive regulation of NF-kappaB transcription factor activity
CARD9,stress-activated MAPK cascade
CARD9,defense response to virus
CARD9,positive regulation of macrophage cytokine production
CARD9,antifungal innate immune response
CARD9,positive regulation of ERK1 and ERK2 cascade
CARD9,positive regulation of cytokine production involved in inflammatory response
CARD9,positive regulation of T-helper 17 type immune response
CARD9,CBM complex
CARD9,plasma membrane
CARD9,cytosol
CARD9,protein homooligomerization
CARD9,protein self-association
CARD9,positive regulation of interleukin-17 production
CARD9,positive regulation of granulocyte macrophage colony-stimulating factor production
CARD9,protein-containing complex
CARD9,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process
CARD9,identical protein binding
CCR7,integral component of membrane
CCR7,G protein-coupled receptor activity
CCR7,G protein-coupled receptor signaling pathway
CCR7,membrane
CCR7,signal transduction
CCR7,plasma membrane
CCR7,mitochondrion
CCR7,immune response
CCR7,chemokine receptor activity
CCR7,C-C chemokine receptor activity
CCR7,chemotaxis
CCR7,inflammatory response
CCR7,chemokine-mediated signaling pathway
CCR7,cell surface
CCR7,external side of plasma membrane
CCR7,positive regulation of dendritic cell antigen processing and presentation
CCR7,positive regulation of hypersensitivity
CCR7,positive regulation of humoral immune response
CCR7,response to lipopolysaccharide
CCR7,regulation of interferon-gamma production
CCR7,regulation of interleukin-1 beta production
CCR7,negative regulation of interleukin-12 production
CCR7,positive regulation of interleukin-12 production
CCR7,negative thymic T cell selection
CCR7,homeostasis of number of cells
CCR7,positive regulation of T cell receptor signaling pathway
CCR7,positive regulation of neutrophil chemotaxis
CCR7,mature conventional dendritic cell differentiation
CCR7,positive regulation of dendritic cell chemotaxis
CCR7,positive regulation of immunological synapse formation
CCR7,positive regulation of T cell costimulation
CCR7,positive regulation of glycoprotein biosynthetic process involved in immunological synapse formation
CCR7,positive regulation of protein kinase B signaling
CCR7,cellular response to cytokine stimulus
CCR7,positive regulation of actin filament polymerization
CCR7,positive regulation of filopodium assembly
CCR7,C-C chemokine binding
CCR7,positive regulation of cytosolic calcium ion concentration
CCR7,calcium-mediated signaling
CCR7,cell chemotaxis
CCR7,positive regulation of JNK cascade
CCR7,establishment of T cell polarity
CCR7,positive regulation of cell-matrix adhesion
CCR7,dendritic cell chemotaxis
CCR7,positive regulation of pseudopodium assembly
CCR7,ruffle organization
CCR7,response to prostaglandin E
CCR7,positive regulation of I-kappaB kinase/NF-kappaB signaling
CCR7,positive regulation of phosphatidylinositol 3-kinase activity
CCR7,positive regulation of protein kinase activity
CCR7,release of sequestered calcium ion into cytosol
CCR7,positive regulation of ERK1 and ERK2 cascade
CCR7,activation of GTPase activity
CCR7,positive regulation of cell motility
CCR7,negative regulation of dendritic cell apoptotic process
CCR7,positive regulation of cell adhesion
CCR7,chemokine (C-C motif) ligand 19 binding
CCR7,chemokine (C-C motif) ligand 21 binding
CCR7,C-C motif chemokine 19 receptor activity
CCR7,C-C motif chemokine 21 receptor activity
CCR7,myeloid dendritic cell chemotaxis
CCR7,chemokine (C-C motif) ligand 19 signaling pathway
CCR7,chemokine (C-C motif) ligand 21 signaling pathway
CCR7,response to nitric oxide
CCR7,lymphocyte migration into lymph node
CCR7,regulation of dendritic cell dendrite assembly
CCRL2,
CCRL2,integral component of membrane
CCRL2,G protein-coupled receptor activity
CCRL2,G protein-coupled receptor signaling pathway
CCRL2,membrane
CCRL2,signal transduction
CCRL2,plasma membrane
CCRL2,chemokine receptor activity
CCRL2,chemotaxis
CCRL2,chemokine-mediated signaling pathway
CCRL2,inflammatory response
CCRL2,cytoplasm
CCRL2,immune response
CCRL2,external side of plasma membrane
CCRL2,integral component of plasma membrane
CCRL2,chemokine receptor binding
CCRL2,C-C chemokine receptor activity
CCRL2,C-C chemokine binding
CCRL2,CCR chemokine receptor binding
CCRL2,positive regulation of cytosolic calcium ion concentration
CCRL2,calcium-mediated signaling
CCRL2,cell chemotaxis
CCRL2,protein binding
CD226,
CD226,membrane
CD226,integral component of membrane
CD226,plasma membrane
CD226,cell adhesion
CD226,protein binding
CD226,external side of plasma membrane
CD226,identical protein binding
CD226,positive regulation of T cell receptor signaling pathway
CD226,positive regulation of natural killer cell cytokine production
CD226,cell surface
CD226,integral component of plasma membrane
CD226,signal transduction
CD226,protein kinase binding
CD226,cell recognition
CD226,positive regulation of natural killer cell mediated cytotoxicity
CD226,membrane raft
CD226,positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target
CD226,cell adhesion molecule binding
CD226,integrin binding
CD226,positive regulation of interferon-gamma production
CD226,positive regulation of immunoglobulin mediated immune response
CD226,positive regulation of mast cell activation
CD226,positive regulation of Fc receptor mediated stimulatory signaling pathway
CD6,membrane
CD6,scavenger receptor activity
CD6,integral component of membrane
CD6,plasma membrane
CD6,cell adhesion
CD6,extracellular region
CD6,protein binding
CD6,immune system process
CD6,innate immune response
CD6,adaptive immune response
CD6,external side of plasma membrane
CD6,T cell receptor complex
CD6,endocytosis
CD6,identical protein binding
CD6,positive regulation of T cell proliferation
CD6,response to lipopolysaccharide
CD6,integral component of plasma membrane
CD6,lipopolysaccharide binding
CD6,intrinsic component of plasma membrane
CD6,immunological synapse
CD6,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
CD6,lipopolysaccharide-mediated signaling pathway
CD6,immunological synapse formation
CD6,protein kinase binding
CD6,lipoteichoic acid binding
CD6,positive regulation of protein phosphorylation
CD6,acute inflammatory response to antigenic stimulus
CD6,positive regulation of cytokine production involved in inflammatory response
CD6,spanning component of plasma membrane
CD6,
CD69,membrane
CD69,integral component of membrane
CD69,carbohydrate binding
CD69,protein binding
CD69,external side of plasma membrane
CD69,integral component of plasma membrane
CD69,protein-containing complex
CD69,transmembrane signaling receptor activity
CD69,identical protein binding
CD69,cellular response to xenobiotic stimulus
CD69,cell surface
CD69,
CDKN1C,nucleus
CDKN1C,regulation of cell cycle
CDKN1C,cyclin-dependent protein serine/threonine kinase inhibitor activity
CDKN1C,regulation of macromolecule metabolic process
CDKN1C,negative regulation of catalytic activity
CDKN1C,protein kinase inhibitor activity
CDKN1C,regulation of mitotic cell cycle
CDKN1C,negative regulation of cyclin-dependent protein serine/threonine kinase activity
CDKN1C,
CDKN1C,cytoplasm
CDKN1C,protein binding
CDKN1C,cell cycle
CDKN1C,"positive regulation of transcription, DNA-templated"
CDKN1C,"negative regulation of transcription, DNA-templated"
CDKN1C,positive regulation of transforming growth factor beta receptor signaling pathway
CDKN1C,molecular function inhibitor activity
CDKN1C,negative regulation of mitotic cell cycle
CDKN1C,negative regulation of phosphorylation
CDKN1C,protein-containing complex binding
CDKN1C,negative regulation of kinase activity
CDKN1C,negative regulation of cyclin-dependent protein kinase activity
