Gene name	GO domain	GO term name	GO term definition	GO term accession
ACOXL	biological_process	biological_process	A biological process represents a specific objective that the organism is genetically programmed to achieve. Biological processes are often described by their outcome or ending state, e.g., the biological process of cell division results in the creation of two daughter cells (a divided cell) from a single parent cell. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.	GO:0008150
ACOXL	molecular_function	oxidoreductase activity	Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.	GO:0016491
ACOXL	molecular_function	oxidoreductase activity, acting on the CH-CH group of donors	Catalysis of an oxidation-reduction (redox) reaction in which a CH-CH group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.	GO:0016627
ACOXL	biological_process	fatty acid beta-oxidation using acyl-CoA oxidase	A fatty acid beta-oxidation pathway in which the initial step, which converts an acyl-CoA to a trans-2-enoyl-CoA, is catalyzed by acyl-CoA oxidase; the electrons removed by oxidation pass directly to oxygen and produce hydrogen peroxide, which is cleaved by peroxisomal catalases. Fatty acid beta-oxidation begins with the addition of coenzyme A to a fatty acid, and ends when only two or three carbons remain (as acetyl-CoA or propionyl-CoA respectively).	GO:0033540
ACOXL	molecular_function	flavin adenine dinucleotide binding	Binding to FAD, flavin-adenine dinucleotide, the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes, in either the oxidized form, FAD, or the reduced form, FADH2.	GO:0050660
ACOXL	biological_process	lipid homeostasis	Any process involved in the maintenance of an internal steady state of lipid within an organism or cell.	GO:0055088
ACOXL	molecular_function	FAD binding	Binding to the oxidized form, FAD, of flavin-adenine dinucleotide, the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes.	GO:0071949
ACSL1	biological_process	very long-chain fatty acid metabolic process	The chemical reactions and pathways involving a fatty acid which has a chain length greater than C22.	GO:0000038
ACSL1	molecular_function	nucleotide binding	Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.	GO:0000166
ACSL1	biological_process	long-chain fatty acid metabolic process	The chemical reactions and pathways involving long-chain fatty acids, A long-chain fatty acid is a fatty acid with a chain length between C13 and C22.	GO:0001676
ACSL1	molecular_function	long-chain fatty acid-CoA ligase activity	Catalysis of the reaction: ATP + a long-chain fatty acid + CoA = AMP + diphosphate + an acyl-CoA; a long-chain fatty acid is a fatty acid with a chain length between C13 and C22.	GO:0004467
ACSL1	molecular_function	ATP binding	Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.	GO:0005524
ACSL1	cellular_component	mitochondrion	A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration.	GO:0005739
ACSL1	cellular_component	mitochondrial outer membrane	The outer, i.e. cytoplasm-facing, lipid bilayer of the mitochondrial envelope.	GO:0005741
ACSL1	cellular_component	peroxisome	A small organelle enclosed by a single membrane, and found in most eukaryotic cells. Contains peroxidases and other enzymes involved in a variety of metabolic processes including free radical detoxification, lipid catabolism and biosynthesis, and hydrogen peroxide metabolism.	GO:0005777
ACSL1	cellular_component	peroxisomal membrane	The lipid bilayer surrounding a peroxisome.	GO:0005778
ACSL1	cellular_component	endoplasmic reticulum	The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached).	GO:0005783
ACSL1	cellular_component	endoplasmic reticulum membrane	The lipid bilayer surrounding the endoplasmic reticulum.	GO:0005789
ACSL1	cellular_component	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	GO:0005886
ACSL1	biological_process	lipid metabolic process	The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids.	GO:0006629
ACSL1	biological_process	fatty acid metabolic process	The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis.	GO:0006631
ACSL1	biological_process	response to nutrient	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nutrient stimulus.	GO:0007584
ACSL1	biological_process	lipid biosynthetic process	The chemical reactions and pathways resulting in the formation of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent.	GO:0008610
ACSL1	biological_process	response to xenobiotic stimulus	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a xenobiotic, a compound foreign to the organim exposed to it. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical.	GO:0009410
ACSL1	biological_process	response to organic substance	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus.	GO:0010033
ACSL1	biological_process	positive regulation of long-chain fatty acid import across plasma membrane	Any process that increases the rate, frequency or extent of plasma membrane long-chain fatty acid transport. Plasma membrane long-chain fatty acid transport is the directed movement of long-chain fatty acids across the plasma membrane. A long-chain fatty acid is a fatty acid with a chain length between C13 and C22.	GO:0010747
ACSL1	biological_process	response to organic cyclic compound	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic cyclic compound stimulus.	GO:0014070
ACSL1	biological_process	fatty acid transport	The directed movement of fatty acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Fatty acids are aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis.	GO:0015908
ACSL1	cellular_component	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.	GO:0016020
ACSL1	molecular_function	ligase activity	Catalysis of the joining of two molecules, or two groups within a single molecule, using the energy from the hydrolysis of ATP, a similar triphosphate, or a pH gradient.	GO:0016874
ACSL1	biological_process	triglyceride biosynthetic process	The chemical reactions and pathways resulting in the formation of a triglyceride, any triester of glycerol.	GO:0019432
ACSL1	biological_process	adiponectin-activated signaling pathway	The series of molecular signals initiated by adiponectin binding to its receptor on the surface of a cell, and ending with the regulation of a downstream cellular process, e.g. transcription.	GO:0033211
ACSL1	biological_process	response to oleic acid	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oleic acid stimulus.	GO:0034201
ACSL1	biological_process	long-chain fatty-acyl-CoA biosynthetic process	The chemical reactions and pathways resulting in the formation of a long-chain fatty-acyl-CoA any derivative of coenzyme A in which the sulfhydryl group is in a thioester linkage with a long-chain fatty-acyl group. Long-chain fatty-acyl-CoAs have chain lengths of C13 or more.	GO:0035338
ACSL1	biological_process	xenobiotic catabolic process	The chemical reactions and pathways resulting in the breakdown of a xenobiotic compound, a compound foreign to the organim exposed to it. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical.	GO:0042178
ACSL1	cellular_component	intracellular membrane-bounded organelle	Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane.	GO:0043231
ACSL1	biological_process	long-chain fatty acid import into cell	The directed movement of a long-chain fatty acid from outside of a cell into a cell. This may occur via transport across the plasma membrane or via endocytosis. A long-chain fatty acid is a fatty acid with a chain length between C13 and C22.	GO:0044539
ACSL1	molecular_function	arachidonate-CoA ligase activity	Catalysis of the reaction: arachidonate + ATP + CoA = AMP + arachidonoyl-CoA + diphosphate + H(+).	GO:0047676
ACSL1	molecular_function	phytanate-CoA ligase activity	Catalysis of the reaction: ATP + CoA + phytanate = AMP + diphosphate + H(+) + phytanoyl-CoA.	GO:0050197
ACSL1	molecular_function	pristanate-CoA ligase activity	Catalysis of the reaction: ATP + pristanate + CoA = AMP + diphosphate + pristanoyl-CoA.	GO:0070251
ACSL1	biological_process	positive regulation of protein serine/threonine kinase activity	Any process that increases the rate, frequency, or extent of protein serine/threonine kinase activity.	GO:0071902
ACSL1	molecular_function	oleoyl-CoA ligase activity	Catalysis of the reaction: ATP + oleic acid + CoA = AMP + diphosphate + oleoyl-CoA.	GO:0090434
ACSL1	biological_process	positive regulation of cold-induced thermogenesis	Any process that activates or increases the frequency, rate or extent of cold-induced thermogenesis.	GO:0120162
ADAD1	cellular_component	male germ cell nucleus	The nucleus of a male germ cell, a reproductive cell in males.	GO:0001673
ADAD1	molecular_function	RNA binding	Binding to an RNA molecule or a portion thereof.	GO:0003723
ADAD1	molecular_function	double-stranded RNA binding	Binding to double-stranded RNA.	GO:0003725
ADAD1	molecular_function	double-stranded RNA adenosine deaminase activity	Catalysis of the reaction: adenosine + H2O = inosine + NH3, in a double-stranded RNA molecule.	GO:0003726
ADAD1	molecular_function	adenosine deaminase activity	Catalysis of the reaction: adenosine + H2O = inosine + NH3.	GO:0004000
ADAD1	cellular_component	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	GO:0005634
ADAD1	cellular_component	nucleolus	A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome.	GO:0005730
ADAD1	cellular_component	cytoplasm	The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.	GO:0005737
ADAD1	biological_process	adenosine to inosine editing	The conversion of an adenosine residue to inosine in an RNA molecule by deamination.	GO:0006382
ADAD1	biological_process	RNA processing	Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules.	GO:0006396
ADAD1	biological_process	spermatogenesis	The developmental process by which male germ line stem cells self renew or give rise to successive cell types resulting in the development of a spermatozoa.	GO:0007283
ADAD1	biological_process	spermatid development	The process whose specific outcome is the progression of a spermatid over time, from its formation to the mature structure.	GO:0007286
ADAD1	molecular_function	tRNA-specific adenosine deaminase activity	Catalysis of the reaction: adenosine + H2O = inosine + NH3, in a tRNA molecule.	GO:0008251
ADAD1	biological_process	cell differentiation	The process in which relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state.	GO:0030154
ADAM30	molecular_function	metalloendopeptidase activity	Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions.	GO:0004222
ADAM30	cellular_component	endosome	A vacuole to which materials ingested by endocytosis are delivered.	GO:0005768
ADAM30	cellular_component	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	GO:0005886
ADAM30	biological_process	proteolysis	The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds.	GO:0006508
ADAM30	molecular_function	peptidase activity	Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid.	GO:0008233
ADAM30	molecular_function	metallopeptidase activity	Catalysis of the hydrolysis of peptide bonds by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions.	GO:0008237
ADAM30	molecular_function	zinc ion binding	Binding to a zinc ion (Zn).	GO:0008270
ADAM30	cellular_component	external side of plasma membrane	The leaflet of the plasma membrane that faces away from the cytoplasm and any proteins embedded or anchored in it or attached to its surface.	GO:0009897
ADAM30	cellular_component	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.	GO:0016020
ADAM30	molecular_function	hydrolase activity	Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc.	GO:0016787
ADAM30	cellular_component	late endosome membrane	The lipid bilayer surrounding a late endosome.	GO:0031902
ADAM30	molecular_function	metal ion binding	Binding to a metal ion.	GO:0046872
ADAM30	cellular_component	sperm head plasma membrane	The plasma membrane that is part of the head section of a sperm cell.	GO:1990913
ADAMTS14	molecular_function	metalloendopeptidase activity	Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions.	GO:0004222
ADAMTS14	cellular_component	extracellular region	The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.	GO:0005576
ADAMTS14	biological_process	proteolysis	The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds.	GO:0006508
ADAMTS14	molecular_function	peptidase activity	Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid.	GO:0008233
ADAMTS14	molecular_function	metallopeptidase activity	Catalysis of the hydrolysis of peptide bonds by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions.	GO:0008237
ADAMTS14	molecular_function	hydrolase activity	Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc.	GO:0016787
ADAMTS14	biological_process	extracellular matrix organization	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an extracellular matrix.	GO:0030198
ADAMTS14	biological_process	collagen fibril organization	Any process that determines the size and arrangement of collagen fibrils within an extracellular matrix.	GO:0030199
ADAMTS14	biological_process	collagen catabolic process	The proteolytic chemical reactions and pathways resulting in the breakdown of collagen in the extracellular matrix, usually carried out by proteases secreted by nearby cells.	GO:0030574
ADAMTS14	cellular_component	extracellular matrix	A structure lying external to one or more cells, which provides structural support, biochemical or biomechanical cues for cells or tissues.	GO:0031012
ADAMTS14	molecular_function	metal ion binding	Binding to a metal ion.	GO:0046872
ADCY7	molecular_function	nucleotide binding	Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.	GO:0000166
ADCY7	biological_process	regulation of adaptive immune response	Any process that modulates the frequency, rate, or extent of an adaptive immune response.	GO:0002819
ADCY7	molecular_function	adenylate cyclase activity	Catalysis of the reaction: ATP = 3',5'-cyclic AMP + diphosphate.	GO:0004016
ADCY7	molecular_function	ATP binding	Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.	GO:0005524
ADCY7	cellular_component	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	GO:0005886
ADCY7	biological_process	cAMP biosynthetic process	The chemical reactions and pathways resulting in the formation of the nucleotide cAMP (cyclic AMP, adenosine 3',5'-cyclophosphate).	GO:0006171
ADCY7	biological_process	adenylate cyclase-activating G protein-coupled receptor signaling pathway	A G protein-coupled receptor signaling pathway in which the signal is transmitted via the activation of adenylyl cyclase activity and a subsequent increase in the intracellular concentration of cyclic AMP (cAMP).	GO:0007189
ADCY7	biological_process	cyclic nucleotide biosynthetic process	The chemical reactions and pathways resulting in the formation of a cyclic nucleotide, a nucleotide in which the phosphate group is in diester linkage to two positions on the sugar residue.	GO:0009190
ADCY7	cellular_component	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.	GO:0016020
ADCY7	molecular_function	lyase activity	Catalysis of the cleavage of C-C, C-O, C-N and other bonds by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond. They differ from other enzymes in that two substrates are involved in one reaction direction, but only one in the other direction. When acting on the single substrate, a molecule is eliminated and this generates either a new double bond or a new ring.	GO:0016829
ADCY7	molecular_function	phosphorus-oxygen lyase activity	Catalysis of the cleavage of a phosphorus-oxygen bond by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond.	GO:0016849
ADCY7	biological_process	intracellular signal transduction	The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell.	GO:0035556
ADCY7	molecular_function	metal ion binding	Binding to a metal ion.	GO:0046872
ADCY7	biological_process	maternal process involved in female pregnancy	A reproductive process occurring in the mother that allows an embryo or fetus to develop within it.	GO:0060135
ADCY7	biological_process	cellular response to lithium ion	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lithium (Li+) ion stimulus.	GO:0071285
ADCY7	biological_process	cellular response to ethanol	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ethanol stimulus.	GO:0071361
ADCY7	biological_process	negative regulation of cytokine production involved in inflammatory response	Any process that stops, prevents or reduces the frequency, rate or extent of cytokine production involved in inflammatory response.	GO:1900016
ADGRL2	molecular_function	transmembrane signaling receptor activity	Combining with an extracellular or intracellular signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity or state as part of signal transduction.	GO:0004888
ADGRL2	molecular_function	G protein-coupled receptor activity	Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex.	GO:0004930
ADGRL2	cellular_component	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	GO:0005886
ADGRL2	biological_process	signal transduction	The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.	GO:0007165
ADGRL2	biological_process	cell surface receptor signaling pathway	The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription.	GO:0007166
ADGRL2	biological_process	G protein-coupled receptor signaling pathway	The series of molecular signals initiated by a ligand binding to its receptor, in which the  activated receptor promotes the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, and ends with regulation of a downstream cellular process.  The pathway can start from the plasma membrane, Golgi or nuclear membrane.	GO:0007186
ADGRL2	biological_process	adenylate cyclase-activating G protein-coupled receptor signaling pathway	A G protein-coupled receptor signaling pathway in which the signal is transmitted via the activation of adenylyl cyclase activity and a subsequent increase in the intracellular concentration of cyclic AMP (cAMP).	GO:0007189
ADGRL2	biological_process	brain development	The process whose specific outcome is the progression of the brain over time, from its formation to the mature structure. Brain development begins with patterning events in the neural tube and ends with the mature structure that is the center of thought and emotion. The brain is responsible for the coordination and control of bodily activities and the interpretation of information from the senses (sight, hearing, smell, etc.).	GO:0007420
ADGRL2	biological_process	response to bacterium	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium.	GO:0009617
ADGRL2	cellular_component	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.	GO:0016020
ADGRL2	cellular_component	integral component of membrane	The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.	GO:0016021
ADGRL2	molecular_function	latrotoxin receptor activity	Combining with alpha-latrotoxin, a potent presynaptic neurotoxin, and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity.	GO:0016524
ADGRL2	molecular_function	carbohydrate binding	Binding to a carbohydrate, which includes monosaccharides, oligosaccharides and polysaccharides as well as substances derived from monosaccharides by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom. Cyclitols are generally not regarded as carbohydrates.	GO:0030246
ADGRL2	cellular_component	neuron projection	A prolongation or process extending from a nerve cell, e.g. an axon or dendrite.	GO:0043005
ADGRL2	cellular_component	postsynaptic membrane	A specialized area of membrane facing the presynaptic membrane on the tip of the nerve ending and separated from it by a minute cleft (the synaptic cleft). Neurotransmitters cross the synaptic cleft and transmit the signal to the postsynaptic membrane.	GO:0045211
ADGRL2	biological_process	synapse organization	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell).	GO:0050808
ADGRL2	biological_process	positive regulation of synapse assembly	Any process that activates, maintains or increases the frequency, rate or extent of synapse assembly, the aggregation, arrangement and bonding together of a set of components to form a synapse.	GO:0051965
ADGRL2	cellular_component	glutamatergic synapse	A synapse that uses glutamate as a neurotransmitter.	GO:0098978
AFF3	molecular_function	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	GO:0003677
AFF3	molecular_function	double-stranded DNA binding	Binding to double-stranded DNA.	GO:0003690
AFF3	molecular_function	DNA-binding transcription factor activity	A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.	GO:0003700
AFF3	cellular_component	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	GO:0005634
AFF3	cellular_component	nucleoplasm	That part of the nuclear content other than the chromosomes or the nucleolus.	GO:0005654
AFF3	cellular_component	cytosol	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.	GO:0005829
AFF3	biological_process	regulation of DNA-templated transcription	Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.	GO:0006355
AFF3	biological_process	regulation of gene expression	Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA).	GO:0010468
AFF3	cellular_component	nuclear body	Extra-nucleolar nuclear domains usually visualized by confocal microscopy and fluorescent antibodies to specific proteins.	GO:0016604
AFF3	cellular_component	super elongation complex	A transcription elongation factor complex that increases the overall rate of RNA polymerase II transcription elongation by suppressing transient polymerase pausing. At minimum, the complex contains a transcription factor of the ELL family, an EAF protein, and an AFF family protein or distant relative and most likely also P-TEFb and AF9 or ENL. The complex is conserved from yeast to humans. In Schizosaccharomyces pombe it contains Ell1, Eaf1, and Ebp1, but it is absent from S. cerevisiae.	GO:0032783
AFF3	biological_process	response to tumor necrosis factor	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a tumor necrosis factor stimulus.	GO:0034612
AFF3	biological_process	embryonic hindlimb morphogenesis	The process, occurring in the embryo, by which the anatomical structures of the hindlimbs are generated and organized. The hindlimbs are the posterior limbs of an animal.	GO:0035116
AGO2	molecular_function	RNA 7-methylguanosine cap binding	Binding to a 7-methylguanosine group added cotranscriptionally to the 5' end of RNA molecules transcribed by polymerase II.	GO:0000340
AGO2	cellular_component	P-body	A focus in the cytoplasm where mRNAs may become inactivated by decapping or some other mechanism. Protein and RNA localized to these foci are involved in mRNA degradation, nonsense-mediated mRNA decay (NMD), translational repression, and RNA-mediated gene silencing.	GO:0000932
AGO2	molecular_function	RNA polymerase II complex binding	Binding to an RNA polymerase II core enzyme, a multisubunit eukaryotic nuclear RNA polymerase typically composed of twelve subunits.	GO:0000993
AGO2	molecular_function	core promoter sequence-specific DNA binding	Binding to a sequence of DNA that is part of a core promoter region. The core promoter is composed of the transcription start site and binding sites for the RNA polymerase and the basal transcription machinery. The transcribed region might be described as a gene, cistron, or operon.	GO:0001046
AGO2	molecular_function	nucleic acid binding	Binding to a nucleic acid.	GO:0003676
AGO2	molecular_function	RNA binding	Binding to an RNA molecule or a portion thereof.	GO:0003723
